hitTime,type,direction
3.4285625,tap,up
4.285708333333333,tap,left
5.142854166666667,tap,right
6.857145833333333,tap,up
7.714291666666667,tap,right
8.5714375,tap,left
10.285708333333334,tap,up
10.714291666666666,tap,left
11.142854166666666,tap,right
11.5714375,tap,left
12,tap,right
13.76893332698787,tap,left
14.191662029986523,tap,right
14.628975225488544,tap,left
15,tap,left
15.471536566318509,tap,right
15.905953696653187,tap,left
16.337433095153862,tap,right
16.75,tap,right
17.142854166666666,tap,up
18,tap,left
18.900000000000002,tap,right
20.5714375,tap,right
