hitTime,type,direction
1.9089583333333333,tap,right
2.5839583333333334,tap,up
3.1839583333333334,tap,left
3.7839583333333335,tap,up
4.983958333333334,tap,up
6.7839583333333335,tap,up
7.383958333333333,tap,left
7.983958333333334,tap,right
8.583958333333333,tap,up
9.783958333333333,tap,up
12.183958333333333,tap,left
12.783958333333333,tap,right
13.383958333333334,tap,up
14.583958333333333,tap,up
16.983958333333334,tap,right
17.58395833333333,tap,left
18.183958333333333,tap,up
19.383958333333332,tap,up
19.983958333333334,tap,right
20.58395833333333,tap,right
21.183958333333333,tap,left
21.783958333333334,tap,left
22.383958333333332,tap,up
22.983958333333334,tap,up
23.58395833333333,tap,up
24.783958333333334,tap,left
26.58395833333333,tap,up
