BPM: 112
Timestamp,Command,Params
0,Profile,Midnight 2.4
2.2,Flash,#ffffff 4 0.3
2.2,Glitch,0.3 0.3
2.2,Pulse,1.05
3,Flash,#ffffff 4 0.3
3,Glitch,0.3 0.3
3,Pulse,1.05
4.322770833333333,Glitch,0.3 0.3
4.322770833333333,Pulse,1.05
4.322770833333334,Flash,#ffffff 4 0.3
5.122770833333333,Flash,#ffffff 4 0.3
5.122770833333333,Glitch,0.3 0.3
5.122770833333333,Pulse,1.05
6.5,Ripple,9 11 9 35 5 0.3
8.608479166666665,Glitch,0.3 0.3
8.608479166666665,Pulse,1.05
8.608479166666667,Flash,#ffffff 4 0.3
9.408479166666666,Flash,#ffffff 4 0.3
9.408479166666666,Glitch,0.3 0.3
9.408479166666666,Pulse,1.05
10.600000000000001,Ripple,9 11 9 35 5 0.3
12.8941875,Glitch,0.3 0.3
12.8941875,Pulse,1.05
12.894187500000001,Flash,#ffffff 4 0.3
13.6941875,Flash,#ffffff 4 0.3
13.6941875,Glitch,0.3 0.3
13.6941875,Pulse,1.05
14.950000000000001,Ripple,9 11 9 35 5 0.3
17.17991666666667,Flash,#ffffff 4 0.3
17.17991666666667,Glitch,0.3 0.3
17.17991666666667,Pulse,1.05
17.979916666666668,Flash,#ffffff 4 0.3
17.979916666666668,Glitch,0.3 0.3
17.979916666666668,Pulse,1.05
19.322770833333333,Glitch,0.3 0.3
19.322770833333333,Pulse,1.05
19.322770833333337,Flash,#ffffff 4 0.3
20.122770833333334,Flash,#ffffff 4 0.3
20.122770833333334,Glitch,0.3 0.3
20.122770833333334,Pulse,1.05
