hitTime,type,direction
3.8917,tap,left
4.5314000000000005,tap,left
5.2485,tap,left
5.9,tap,left
6.539700000000001,tap,left
7.256799999999999,tap,left
7.931699999999999,tap,left
8.5714,tap,left
9.288499999999999,tap,left
9.940000000000001,tap,left
10.579699999999999,tap,left
11.296799999999998,tap,left
11.936499999999999,tap,left
12.653599999999997,tap,left
13.3051,tap,left
13.944799999999997,tap,left
14.661899999999996,tap,left
15.336799999999997,tap,left
15.976499999999998,tap,left
16.693599999999996,tap,left
17.345099999999995,tap,left
17.9848,tap,left
18.701899999999995,tap,left
19.341599999999996,tap,left
20.058699999999995,tap,left
20.710199999999993,tap,left
