BPM: Unknown
Timestamp,Command,Params
0,Profile,Sunset 2
2.584223741007194,Flash,#ff0000 5 2.5
6.300000000000001,Flash,#ffffff 5 2.5
10,Flash,#ff0000 5 2.5
13.715776258992806,Flash,#ffffff 5 2.5
15,Profile,Inferno 2
17.554096402877697,Flash,#ff0000 5 2.5
17.559916726618702,BloomKick,3 2.5
21.27569298561151,Flash,#ffffff 5 2.5
25.1,Flash,#ff0000 5 2.5
25.1,Pulse,1.05 0
25.6,Pulse,1.05 0
26.05,Pulse,1.05 0
26.5,Pulse,1.05 0
26.950000000000003,Pulse,1.05 0
27.450000000000003,Pulse,1.05 0
27.900000000000002,Pulse,1.05 0
28.400000000000002,Pulse,1.05 0
28.8,Pulse,1.05 0
28.81577625899281,Flash,#ffffff 5 2.5
29.3,Pulse,1.05 0
29.75,Pulse,1.05 0
30.25,Pulse,1.05 0
30.700000000000003,Pulse,1.05 0
31.150000000000002,Pulse,1.05 0
31.650000000000002,Pulse,1.05 0
32.099999999999994,Pulse,1.05 0
32.6,Pulse,1.05 0
33.050000000000004,Pulse,1.05 0
33.550000000000004,Pulse,1.05 0
33.618189928057554,Profile,Void 6
33.99999999999999,Pulse,1.05 0
34.45,Pulse,1.05 0
34.9,Pulse,1.05 0
35.4,Pulse,1.05 0
35.849999999999994,Pulse,1.05 0
36.35,Pulse,1.05 0
36.800000000000004,Pulse,1.05 0
37.28,Pulse,1.05 0
37.74999999999999,Pulse,1.05 0
38,Blackout,true 0
39.5,Profile,VaporRed 0.3
39.5,Blackout,false 0
39.62476402877697,Pulse,1.2 0
39.62476402877697,Glitch,1 0.4
40.1,BloomKick,4 0.4
40.1,Glitch,2 0.4
40.450000000000004,Pulse,1.2 0
40.450000000000004,Glitch,1 0.4
41.050000000000004,Pulse,1.2 0
41.050000000000004,Glitch,1 0.4
41.480000000000004,Pulse,1.2 0
41.480000000000004,Glitch,1 0.4
41.95,Pulse,1.2 0
41.95,Glitch,1 0.4
42.400000000000006,Pulse,1.2 0
42.400000000000006,Glitch,1 0.4
42.900000000000006,Pulse,1.2 0
42.900000000000006,Glitch,1 0.4
43.373052517985606,FireflyPulse,10 1
43.373052517985606,BloomKick,3 1
43.832858093525175,Profile,Void 0
43.84158857913668,BloomKick,4 0.4
43.84158857913668,Glitch,2 0.4
44.25,Profile,VaporRed 0
44.300000000000004,Pulse,1.1 0
44.300000000000004,Glitch,1 0.4
44.800000000000004,Pulse,1.2 0
44.800000000000004,Glitch,1 0.4
45.375235971223034,Pulse,1.2 0
45.375235971223034,Glitch,1 0.4
45.725235971223036,Pulse,1.2 0
45.725235971223036,Glitch,1 0.4
46.225235971223036,Pulse,1.2 0
46.225235971223036,Glitch,1 0.4
46.655235971223036,Pulse,1.2 0
46.655235971223036,Glitch,1 0.4
47.1,FireflyPulse,10 1
47.1,BloomKick,3 1
47.586966906474814,Profile,Void 0
47.586966906474814,BloomKick,4 0.4
47.586966906474814,Glitch,2 0.4
48.00410881294964,Profile,VaporRed 0
48.02931151079136,Pulse,1.1 0
48.02931151079136,Glitch,1 0.4
48.52931151079136,Pulse,1.2 0
48.52931151079136,Glitch,1 0.4
49,Pulse,1.2 0
49,Glitch,1 0.4
49.45454748201439,Pulse,1.2 0
49.45454748201439,Glitch,1 0.4
49.95454748201439,Pulse,1.2 0
49.95454748201439,Glitch,1 0.4
50.38454748201439,Pulse,1.2 0
50.38454748201439,Glitch,1 0.4
50.84052787769784,FireflyPulse,10 1
50.84052787769784,BloomKick,3 1
51.32749478417265,Profile,Void 0
51.32943507194244,BloomKick,4 0.4
51.32943507194244,Glitch,2 0.4
51.744636690647475,Profile,VaporRed 0
51.769839388489196,Pulse,1.1 0
51.769839388489196,Glitch,1 0.4
52.28396816546762,Pulse,1.2 0
52.28396816546762,Glitch,1 0.4
52.75465665467626,Pulse,1.2 0
52.75465665467626,Glitch,1 0.4
53.20920413669065,Pulse,1.2 0
53.20920413669065,Glitch,1 0.4
53.70920413669065,Pulse,1.2 0
53.70920413669065,Glitch,1 0.4
54.146471762589925,Profile,VaporPink 0
55.0980946942446,BloomKick,4 0.4
55.0980946942446,Glitch,2 0.4
55.1,Profile,Void 0
55.550000000000004,Profile,VaporRed 0
55.550000000000004,Pulse,1.1 0
55.550000000000004,Glitch,1 0.4
56.050000000000004,Pulse,1.2 0
56.050000000000004,Glitch,1 0.4
56.520688489208645,Pulse,1.2 0
56.520688489208645,Glitch,1 0.4
56.975235971223036,Pulse,1.2 0
56.975235971223036,Glitch,1 0.4
57.475235971223036,Pulse,1.2 0
57.475235971223036,Glitch,1 0.4
57.905235971223036,Pulse,1.2 0
57.905235971223036,Glitch,1 0.4
58.36121636690648,FireflyPulse,10 1
58.36121636690648,BloomKick,3 1
58.843473021582724,Profile,Void 0
58.84929334532374,BloomKick,4 0.4
58.84929334532374,Glitch,2 0.4
59.29347302158273,Profile,VaporRed 0
59.29347302158273,Pulse,1.1 0
59.29347302158273,Glitch,1 0.4
59.79347302158273,Pulse,1.2 0
59.79347302158273,Glitch,1 0.4
60.25,Pulse,1.2 0
60.25,Glitch,1 0.4
60.71870899280576,Pulse,1.2 0
60.71870899280576,Glitch,1 0.4
61.2,Pulse,1.2 0
61.2,Glitch,1 0.4
61.64870899280575,Pulse,1.2 0
61.64870899280575,Glitch,1 0.4
62.10468938848921,FireflyPulse,10 1
62.10468938848921,BloomKick,3 1
62.59176151079136,Profile,Void 0
62.59467167266186,BloomKick,4 0.4
62.59467167266186,Glitch,2 0.4
63.039926438848916,Pulse,1.1 0
63.039926438848916,Glitch,1 0.4
63.04176151079136,Profile,VaporRed 0
63.539926438848916,Pulse,1.2 0
63.539926438848916,Glitch,1 0.4
63.99645341726619,Pulse,1.2 0
63.99645341726619,Glitch,1 0.4
64.46516241007194,Pulse,1.2 0
64.46516241007194,Glitch,1 0.4
64.94645341726618,Pulse,1.2 0
64.94645341726618,Glitch,1 0.4
65.39516241007195,Pulse,1.2 0
65.39516241007195,Glitch,1 0.4
65.8511428057554,FireflyPulse,10 1
65.8511428057554,BloomKick,3 1
66.35751097122301,Profile,Void 0
66.35751097122301,BloomKick,4 0.4
66.35751097122301,Glitch,2 0.4
66.78239460431654,Pulse,1.1 0
66.78239460431654,Glitch,1 0.4
66.80751097122301,Profile,VaporRed 0
67.28239460431654,Pulse,1.2 0
67.28239460431654,Glitch,1 0.4
67.73892158273381,Pulse,1.2 0
67.73892158273381,Glitch,1 0.4
68.20763057553955,Pulse,1.2 0
68.20763057553955,Glitch,1 0.4
68.6889215827338,Pulse,1.2 0
68.6889215827338,Glitch,1 0.4
69.13763057553956,Pulse,1.2 0
69.13763057553956,Glitch,1 0.4
69.59361097122303,FireflyPulse,10 1
69.59361097122303,BloomKick,3 1
69.95,Profile,Sunset 3
